0,1,2,3,4,5,6,7,8,9,10,11,12
Years Ended,,"Dec 29, 2018",,"Dec 28, 2019",,"Dec 26, 2020",,"Dec 25, 2021",,"Dec 31, 2022",,"Dec 30, 2023"
"Intel Corporation
S&P 100 Index","$
$","100 
100","$
$","132 
134","$
$","106 
160","$
$","118 
209","$
$","63 
166","$
$","123 
221"
"S&P 500 Index
S&P 500 IT Index","$
$","100 
100","$
$","133 
152","$
$","155 
216","$
$","200 
292","$
$","165 
211","$
$","209 
333"
SOX Index,$,100,$,165,$,248,$,360,$,235,$,392
1,"The graph and table assume that $100 was invested on the last day of trading for the fiscal year ended December 29, 2018 in Intel's common stock, the S&P 100 Index, S&P 500 Index, S&P 500 IT",,,,,,,,,,,
